"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Families Group Central","DFE-2551","Grade 7 - National","58185","67219","Manager - Families Group Central Grade 6-North West","2.00","Other","North West"
"Department for Education","Department for Education","Financial Operations","DFE-2200","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Financial Operations SEO-West Midlands","13.29","Other","West Midlands"
"Department for Education","Department for Education","Digital Delivery - Vulnerable Families & Children","DFE-2503","Grade 6 - National","70854","78241","Manager - Digital Delivery - Vulnerable Families & Children Grade 6-North East","1.00","Other","North East"
"Department for Education","Department for Education","Central Strategic Finance","DFE-2604","HEO - National","36000","38229","Higher Executive Officer - Central Strategic Finance HEO-North West","2.00","Other","North West"
"Department for Education","Department for Education","Central & South West Place Based Team","DFE-2508","Grade 6 - National","70854","78241","Manager - Central & South West Place Based Team Grade 6-Unknown","4.00","Other","Unknown"
"Department for Education","Department for Education","Payroll, Reward, Policies and ER","DFE-2527","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Payroll, Reward, Policies and ER SEO-London","2.00","Other","London"
"Department for Education","Skills England","Regions","DFE-2197","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Regions SEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Specialist Restructuring","DFE-2173","SEO (Accountant) - National","49615","54551","Senior Executive Officer - Specialist Restructuring SEO-West Midlands","2.86","Other","West Midlands"
"Department for Education","Department for Education","Assurance","DFE-2192","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Assurance SEO-Unknown","1.00","Other","Unknown"
"Department for Education","Skills England","Regions","DFE-2197","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions SEO-Unknown","2.81","Other","Unknown"
"Department for Education","Department for Education","London & South East Place Based Team","DFE-2489","Grade 6 - National","70854","78241","Manager - London & South East Place Based Team Grade 6-Unknown","3.00","Other","Unknown"
"Department for Education","Department for Education","Work Based Skills Operational Delivery","DFE-2619","Grade 7 - London","62336","72057","Manager - Work Based Skills Operational Delivery Grade 7-London","2.00","Other","London"
"Department for Education","Department for Education","Technology Operations","DFE-2461","Grade 7 - National","58185","67219","Manager - Data Protection Office Grade 7-Yorkshire and The Humber","4.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Technology Directorate","DFE-2553","Grade 7 - National","58185","67219","Manager - DDT Central Operations Grade 7-West Midlands","0.56","Other","West Midlands"
"Department for Education","Skills England","Regions","DFE-2197","Grade 7 - National","58185","67219","Manager - Regions Grade 7-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Assurance","DFE-2192","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Assurance SEO-West Midlands","3.50","Other","West Midlands"
"Department for Education","Department for Education","Assurance","DFE-2192","HEO - London","40132","42699","Higher Executive Officer - Assurance HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Commercial Specialist - Operations & Infrastructure SEO-North East","4.00","Other","North East"
"Department for Education","Department for Education","Digital Delivery - Schools","DFE-2664","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Digital Delivery - Schools SEO-West Midlands","2.00","Other","West Midlands"
"Department for Education","Department for Education","Digital Delivery - Funding Services","DFE-2610","EO - National","31479","31479","Executive Officer - Digital Delivery - Funding Services EO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Independent Market Oversight","DFE-2507","Grade 6 - London","74528","82869","Manager - Independent Market Oversight Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","Estates, Security and People","DFE-2025","HEO - National","36000","38229","Higher Executive Officer - Estates, Security and People HEO-West Midlands","0.60","Other","West Midlands"
"Department for Education","Department for Education","Operational Excellence","DFE-2292","Grade 6 - National","70854","78241","Manager - Operational Excellence Grade 6-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","T - Level Delivery ​","DFE-2626","Grade 7 - National","58185","67219","Manager - T - Level Delivery ​ Grade 7-Unknown","2.00","Other","Unknown"
"Department for Education","Department for Education","Careers","DFE-2653","Grade 6 - National","70854","78241","Manager - Careers Grade 6-West Midlands","1.60","Other","West Midlands"
"Department for Education","Department for Education","Independent Market Oversight","DFE-2507","HEO - National","36000","38229","Higher Executive Officer - Independent Market Oversight HEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Cyber and Information Security (CISO)","DFE-2485","Grade 6 - National","70854","78241","Manager - Cyber and Information Security (CISO) Grade 6-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","HR Organisation Design, Development & Engagement","DFE-2407","EO - National","31479","31479","Executive Officer - HR Business Partners, Workforce Skills and Strategy EO-North East","0.64","Other","North East"
"Department for Education","Department for Education","Customer Experience & Design","DFE-2478","Grade 7 - London","62336","72057","Manager - Customer Experience & Design Grade 7-London","2.00","Other","London"
"Department for Education","Department for Education","Independent Market Oversight","DFE-2507","Senior Executive Officer - London","46971","51973","Senior Executive Officer - North Place Based Team & ESF SEO-London","1.00","Other","London"
"Department for Education","Department for Education","Technical Education & Qualification Reforms","DFE-2093","HEO - National","36000","38229","Higher Executive Officer - Technical Education & Qualification Reform​s HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Data Science (ESFA)","DFE-2601","Grade 7 - National","58185","67219","Manager - Data Science (ESFA) Grade 7-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Work Based Skills Operational Delivery","DFE-2619","Grade 7 - National","58185","67219","Manager - Work Based Skills Operational Delivery Grade 7-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","Independent Market Oversight","DFE-2507","EA - London","30551","30551","Executive Assistant - North Place Based Team & ESF EA-London","1.00","Other","London"
"Department for Education","Department for Education","T - Level Delivery ​","DFE-2626","Grade 6 - London","74528","82869","Manager - T - Level Delivery ​ Grade 6-London","2.90","Other","London"
"Department for Education","Department for Education","Counter Fraud  and Prevention","DFE-2290","Grade 7 - National","58185","67219","Manager - Counter Fraud and Prevention Grade 7-North West","2.00","Other","North West"
"Department for Education","Department for Education","Counter Fraud  and Prevention","DFE-2290","Grade 7 - National","58185","67219","Manager - Counter Fraud and Prevention Grade 7-West Midlands","3.00","Other","West Midlands"
"Department for Education","Department for Education","FE Support, Improvement and Provider Engagement","DFE-2394","Grade 7 - National","58185","67219","Manager - FE Support, Improvement and Provider Engagement Grade 7-Yorkshire and The Humber","4.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Advanced Analytics Division","DFE-2557","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Advanced Analytics SEO-West Midlands","3.00","Other","West Midlands"
"Department for Education","Department for Education","North Place Based Team & ESF","DFE-2332","HEO - National","36000","38229","Higher Executive Officer - Northern Territorial Team & ESF HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","London & South East Place Based Team","DFE-2489","EA - London","30551","30551","Executive Assistant - London & South East Place Based Team EO-London","1.00","Other","London"
"Department for Education","Department for Education","Estates, Security and People","DFE-2025","Grade 7 - National","58185","67219","Manager - Estates, Security and People Grade 7-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Specialist Restructuring","DFE-2173","Grade 6 - London","74528","82869","Manager - Specialist Restructuring Grade 6-London","2.00","Other","London"
"Department for Education","Department for Education","Technology Operations","DFE-2461","HEO - National","36000","38229","Higher Executive Officer - Data Protection Office HEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","North Place Based Team & ESF","DFE-2332","Grade 6 - National","70854","78241","Manager - North Place Based Team & ESF Grade 6 (Position Vacate:26/01/2026)-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","Work Based Skills Operational Delivery","DFE-2619","SEO (Information Officer) - National","48999","53884","Senior Executive Officer - Work Based Skills Operational Delivery SEO-Unknown","0.97","Other","Unknown"
"Department for Education","Department for Education","Products, Quality and Market","DFE-2127","Grade 6 - National","70854","78241","Manager - Products, Quality and Market Grade 6-West Midlands","2.00","Other","West Midlands"
"Department for Education","Department for Education","Operational Excellence","DFE-2292","Grade 7 - National","58185","67219","Manager - Operational Excellence Grade 7-North West","3.00","Other","North West"
"Department for Education","Department for Education","Technology Operations","DFE-2461","HEO - National","36000","38229","Higher Executive Officer - Knowledge and Information Management HEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Skills England","Delivery and Reform","DFE-2693","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Delivery and Reform SEO-West Midlands","7.41","Other","West Midlands"
"Department for Education","Department for Education","Customer Success & Shared Service Operations","DFE-2334","EO - National","31479","31479","Executive Officer - Customer Success & Shared Service Operations EO-West Midlands","6.16","Other","West Midlands"
"Department for Education","Department for Education","CSC Social Worker Training, Development and Leadership","DFE-2558","Grade 7 - National","58185","67219","Manager - CSC Social Worker Training, Development and Leadership Grade 7-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Assurance","DFE-2192","HEO - National","36000","38229","Higher Executive Officer - Assurance HEO-North West","2.00","Other","North West"
"Department for Education","Department for Education","Enterprise Data for Access and Sharing","DFE-2658","Grade 6 - National","70854","78241","Manager - Enterprise Data for Access and Sharing 6-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Customer Success & Shared Service Operations","DFE-2334","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Customer Success & Shared Service Operations SEO-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","Estates, Security and People","DFE-2025","HEO - London","40132","42699","Higher Executive Officer - Central Business Services HEO-London","1.86","Other","London"
"Department for Education","Department for Education","Specialist Restructuring","DFE-2173","Grade 6 - National","70854","78241","Manager - Specialist Restructuring Grade 6-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Specialist Restructuring","DFE-2173","Grade 6 - National","70854","78241","Manager - Specialist Restructuring Grade 6-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Attendance","DFE-2533","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Attendance SEO-London","2.90","Other","London"
"Department for Education","Department for Education","Technology Operations","DFE-2461","Grade 6 - National","70854","78241","Manager - Technology Operations Grade 6-South West","2.00","Other","South West"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","HEO - National","36000","38229","Higher Executive Officer - Commercial Specialist - Schools HEO-West Midlands","0.64","Other","West Midlands"
"Department for Education","Department for Education","HR Services & Specialist Advice","DFE-2001","Senior Executive Officer - National","42806","47047","Senior Executive Officer - HR Services & Specialist Advice SEO-North East","1.91","Other","North East"
"Department for Education","Department for Education","Construction Delivery East England, South West and London","DFE-2003","Grade 6 - London","74528","82869","Manager - Construction Delivery East England, South West and London Grade 6-Unknown","22.40","Other","Unknown"
"Department for Education","Department for Education","Enterprise Data for Insight","DFE-2392","HEO - National","36000","38229","Higher Executive Officer - Enterprise Data for Insight HEO-East Of England","0.60","Other","East Of England"
"Department for Education","Department for Education","DDT Incubator","DFE-2475","Grade 6 - London","74528","82869","Manager - DDT Incubator Grade 6-London","2.00","Other","London"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Commercial Specialist - Skills SEO-London","1.00","Other","London"
"Department for Education","Department for Education","Schools System Accountability","DFE-2224","Grade 7 - London","62336","72057","Manager - Schools System Accountability Grade 7-London","5.92","Other","London"
"Department for Education","Department for Education","Essential Skills and Multiply","DFE-2104","Grade 7 - London","62336","72057","Manager - Essential Skills and Multiply Grade 7-London","4.60","Other","London"
"Department for Education","Department for Education","CSC Child Protection and Safeguarding","DFE-2337","Grade 7 - London","62336","72057","Manager - CSC Social Work Strategy, Practice and Evidence Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Social Justice and Disadvantage","DFE-2519","Grade 7 - National","58185","67219","Manager - Social Justice and Disadvantage Grade 7-North West","2.00","Other","North West"
"Department for Education","Department for Education","SFSO Central Division","DFE-2202","Senior Executive Officer - London","46971","51973","Senior Executive Officer - SFSO Central Division SEO-London","2.00","Other","London"
"Department for Education","Department for Education","Financial Reporting","DFE-2454","SEO (Accountant) - National","49615","54551","Senior Executive Officer - Financial Reporting SEO-West Midlands","2.00","Other","West Midlands"
"Department for Education","Department for Education","Families Analysis","DFE-2152","Grade 7 - National","58185","67219","Manager - Families Analysis Grade 7-Yorkshire and The Humber","3.40","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Products, Quality and Market","DFE-2127","HEO - National","36000","38229","Higher Executive Officer - Products, Quality and Market HEO-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Commercial Operations","DFE-2355","HEO - National","36000","38229","Higher Executive Officer - Commercial Operations HEO (Position Vacate:31/12/2025)-North East","1.00","Other","North East"
"Department for Education","Department for Education","Schools Digital","DFE-2504","EO - National","31479","31479","Executive Officer - Schools Digital EO-East Midlands","0.72","Other","East Midlands"
"Department for Education","Department for Education","Customer Experience & Design","DFE-2478","Grade 6 - London","74528","82869","Manager - Customer Experience & Design Grade 6-London","2.91","Other","London"
"Department for Education","Department for Education","Schools Regulation and Quality","DFE-2212","Grade 7 - National","58185","67219","Manager - Schools Regulation and Quality Grade 7-Yorkshire and The Humber","2.70","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Technical Education & Qualification Reforms","DFE-2093","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Technical Education & Qualification Reform​s SEO-Yorkshire and The Humber","4.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Strategic Communications and Campaigns","DFE-2163","SEO (Information Officer) - National","48999","53884","Senior Executive Officer - Strategic Communications and Campaigns SEO (Position Vacate:21/10/2025)-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Further Education Workforce","DFE-2218","HEO - National","36000","38229","Higher Executive Officer - FE Workforce HEO-Yorkshire and The Humber","1.87","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: National","DFE-2021","Grade 7 - National","58185","67219","Manager - Regions Group: National Grade 7-North West","5.00","Other","North West"
"Department for Education","Department for Education","Education Estates Portfolio Oversight and Directorate Support","DFE-2648","HEO - National","36000","38229","Higher Executive Officer - Education Estates Portfolio Oversight and Directorate Support HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Families Group Central","DFE-2551","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Counter Extremism and Non-School Education SEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Regions Group: North East and National SEND Improvement and Transformation","DFE-2701","Grade 6 - National","70854","78241","Manager - Regions Group: North East and National SEND Improvement and Transformation Grade 6-West Midlands","0.89","Other","West Midlands"
"Department for Education","Teaching Regulation Agency","Teaching Regulation Agency","DFE-2215","HEO - National","36000","38229","Higher Executive Officer - Teaching Regulation Agency SEO-West Midlands","1.68","Other","West Midlands"
"Department for Education","Department for Education","Life Skills","DFE-2456","Grade 6 - National","70854","78241","Manager - Life Skills Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Central Strategic Finance","DFE-2604","Grade 7 - London","62336","72057","Manager - Central Strategic Finance Grade 7-London","4.00","Other","London"
"Department for Education","Department for Education","Higher Education Analysis","DFE-2632","SEO (Scientific Officer) - National","48999","53884","Senior Executive Officer - HE Analysis SEO-North West","0.81","Other","North West"
"Department for Education","Department for Education","Commercial Operations","DFE-2355","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Commercial Operations SEO-North East","5.00","Other","North East"
"Department for Education","Department for Education","Childcare Reform Delivery & Directorate Support","DFE-2576","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Childcare Reform Delivery & Directorate Support SEO-North East","5.00","Other","North East"
"Department for Education","Department for Education","Sector Reporting","DFE-2185","Grade 6 - London","74528","82869","Manager - Sector Reporting Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","Childcare Reform Delivery & Directorate Support","DFE-2576","EO - London","35438","35438","Executive Officer - Childcare Reform Delivery & Directorate Support EO-London","2.80","Other","London"
"Department for Education","Department for Education","Regions Group: Yorkshire and the Humber","DFE-2375","Grade 7 - National","58185","67219","Manager - Regions Group: Yorkshire and the Humber Grade 7-Yorkshire and The Humber","7.64","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Schools Commercial Strategy SEO-East Midlands","2.81","Other","East Midlands"
"Department for Education","Department for Education","Higher Education Analysis","DFE-2632","Grade 7 - London","62336","72057","Manager - HE Analysis Grade 7 (Position Vacate:09/10/2025)-London","1.00","Other","London"
"Department for Education","Department for Education","Higher Education Strategy and Portfolio","DFE-2239","HEO - National","36000","38229","Higher Executive Officer - Higher Education Strategy and Portfolio HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Life Skills","DFE-2456","Grade 7 - London","62336","72057","Manager - Life Skills Grade 7-London","3.80","Other","London"
"Department for Education","Department for Education","International Placements","DFE-2491","Senior Executive Officer - National","42806","47047","Senior Executive Officer - International Placements SEO-Yorkshire and The Humber","3.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Schools Productivity Unit","DFE-2651","Grade 6 - National","70854","78241","Manager - Schools Productivity Unit Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Construction Delivery North East, Yorkshire Humber and East Midlands","DFE-2603","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Construction Delivery North East, Yorkshire Humber and East Midlands SEO-Unknown","6.00","Other","Unknown"
"Department for Education","Department for Education","Future Student Finance and Funding​","DFE-2665","Grade 7 - National","58185","67219","Manager - Future Student Finance and Funding​ Grade 7-Yorkshire and The Humber","1.80","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Schools Productivity Unit","DFE-2651","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Schools Productivity Unit SEO-North East","0.54","Other","North East"
"Department for Education","Department for Education","Counter Extremism and Non-School Education","DFE-2398","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Counter Extremism and Non-School Education SEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Access, Participation and Applications","DFE-2231","Grade 6 - National","70854","78241","Manager - Access, Participation and Applications Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Education Estates Data Collection and Analysis","DFE-2627","SEO (Statistical Officer) - National","48999","53884","Senior Executive Officer - Education Estates Data Collection and Analysis SEO-South West","1.86","Other","South West"
"Department for Education","Department for Education","Improvement and Insight","DFE-2223","G7 (Accountant) - National","58437","67219","Manager - Improvement and Insight Grade 7-North West","2.66","Other","North West"
"Department for Education","Department for Education","Customer Success & Shared Service Operations","DFE-2334","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Customer Success & Shared Service Operations SEO-North East","4.80","Other","North East"
"Department for Education","Department for Education","Data Science (ESFA)","DFE-2601","HEO - National","36000","38229","Higher Executive Officer - Data Science (ESFA) HEO-North East","3.00","Other","North East"
"Department for Education","Department for Education","Digital Strategy","DFE-2694","Grade 7 - National","58185","67219","Manager - Digital Strategy Grade 7-Yorkshire and The Humber","3.86","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","HR Services & Specialist Advice","DFE-2001","Grade 7 - National","58185","67219","Manager - HR Services & Specialist Advice Grade 7-North East","2.00","Other","North East"
"Department for Education","Department for Education","CSC Social Worker Training, Development and Leadership","DFE-2558","Senior Executive Officer - National","42806","47047","Senior Executive Officer - CSC Social Worker Training, Development and Leadership SEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Skills England","Clean Energy, Life Sciences","DFE-2686","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Clean Energy, Life Sciences SEO-West Midlands","2.80","Other","West Midlands"
"Department for Education","Department for Education","Family Hubs and Early Years Interventions","DFE-2654","HEO - National","36000","38229","Higher Executive Officer - Family Hubs and Early Years Interventions HEO-Yorkshire and The Humber","3.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Early Years Quality, Recovery and Welfare","DFE-2240","Grade 6 - London","74528","82869","Manager - Early Years Quality, Recovery and Welfare Grade 6-London","3.00","Other","London"
"Department for Education","Department for Education","Construction Grants, Assurance and Response","DFE-2344","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Construction Grants, Assurance and Response SEO-Yorkshire and The Humber","4.60","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","International Placements","DFE-2491","EO - National","31479","31479","Executive Officer - International Placements EO-North West","2.00","Other","North West"
"Department for Education","Department for Education","Skills Strategy and Delivery","DFE-2570","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Skills Strategy and Delivery SEO-Yorkshire and The Humber","3.46","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Schools and Funding Analysis","DFE-2567","Grade 7 - National","58185","67219","Manager - Schools and Funding Analysis Grade 7-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Education Estates Data Collection and Analysis","DFE-2627","Grade 7 - National","58185","67219","Manager - Education Estates Data Collection and Analysis Grade 7-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Families Analysis","DFE-2152","Grade 7 - London","62336","72057","Manager - Families Analysis Grade 7-London","5.00","Other","London"
"Department for Education","Department for Education","Family Support","DFE-2305","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Family Support SEO-London","4.64","Other","London"
"Department for Education","Department for Education","Higher Education Strategy and Portfolio","DFE-2239","EO - National","31479","31479","Executive Officer - Higher Education Strategy and Portfolio EO-Yorkshire and The Humber","0.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Infrastructure & Platforms","DFE-2281","Grade 7 - National","58185","67219","Manager - Infrastructure & Platforms Grade 7-North East","3.86","Other","North East"
"Department for Education","Department for Education","Schools System Accountability","DFE-2224","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Schools System Accountability SEO-Yorkshire and The Humber","4.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Enterprise Data for Access and Sharing","DFE-2658","HEO - National","36000","38229","Higher Executive Officer - Enterprise Data for Access and Sharing HEO-Yorkshire and The Humber","3.13","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Policy Lab","DFE-2630","Grade 6 - London","74528","82869","Manager - Policy Lab Grade 6-London","3.71","Other","London"
"Department for Education","Standard and Testing Agency","STA Assessment DDaT","DFE-2607","Senior Executive Officer - National","42806","47047","Senior Executive Officer - STA Assessment DDaT SEO-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","SFSO Operational Delivery - North","DFE-2084","Senior Executive Officer - National","42806","47047","Senior Executive Officer - SFSO Operational Delivery - North Grade 7-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Supporting and Rewarding Teachers and Leaders","DFE-2637","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Supporting and Rewarding Teachers and Leaders SEO-Yorkshire and The Humber","1.41","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: Yorkshire and the Humber","DFE-2375","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions Group: Yorkshire and the Humber SEO-Yorkshire and The Humber","10.86","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","CSC Social Worker Training, Development and Leadership","DFE-2558","Grade 7 - National","58185","67219","Manager - CSC Social Worker Training, Development and Leadership Grade 7-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","HR Services & Specialist Advice","DFE-2001","HEO - National","36000","38229","Higher Executive Officer - HR Services & Specialist Advice HEO-North West","5.00","Other","North West"
"Department for Education","Department for Education","Early Years Quality, Recovery and Welfare","DFE-2240","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Early Years Quality, Recovery and Welfare SEO-East Midlands","2.86","Other","East Midlands"
"Department for Education","Department for Education","Ministerial and Public Communications Division","DFE-2249","EO - National","31479","31479","Executive Officer - Ministerial and Public Communications Division EO-North East","10.58","Other","North East"
"Department for Education","Department for Education","Inclusive Mainstream","DFE-2647","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Inclusive Mainstream SEO-Yorkshire and The Humber","1.91","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Life Skills","DFE-2456","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Life Skills SEO-Yorkshire and The Humber","2.75","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","CSC Strategy and System","DFE-2401","Grade 7 - National","58185","67219","Manager - CSC Strategy and System Grade 7-Yorkshire and The Humber","1.60","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Cyber and Information Security (CISO)","DFE-2485","Grade 6 - National","70854","78241","Manager - Cyber and Information Security (CISO) Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Construction Delivery South East and London","DFE-2222","HEO - National","36000","38229","Higher Executive Officer - School Rebuilding HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Family Hubs and Early Years Interventions","DFE-2654","Grade 7 - National","58185","67219","Manager - Family Hubs and Early Years Interventions Grade 7-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Capital Delivery","DFE-2568","Grade 7 - National","58185","67219","Manager - Construction and External Technical Services Grade 7-South West","1.00","Other","South West"
"Department for Education","Department for Education","Family Support","DFE-2305","HEO - National","36000","38229","Higher Executive Officer - Family Support HEO-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Further Education Workforce","DFE-2218","Senior Executive Officer - National","42806","47047","Senior Executive Officer - FE Workforce SEO-North West","2.91","Other","North West"
"Department for Education","Department for Education","Regions Group: Yorkshire & Humber and National CSC and BSiL","DFE-2613","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions Group: Yorkshire & Humber and National CSC and BSiL SEO-Yorkshire and The Humber","4.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: Yorkshire and the Humber","DFE-2375","HEO - National","36000","38229","Higher Executive Officer - Regions Group: Yorkshire and the Humber HEO-Yorkshire and The Humber","6.35","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Access, Participation and Applications","DFE-2231","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Careers SEO-London","1.81","Other","London"
"Department for Education","Department for Education","SFSO Central Division","DFE-2202","Grade 7 - London","62336","72057","Manager - SFSO Central Division Gade 7-London","2.00","Other","London"
"Department for Education","Department for Education","Schools Productivity Unit","DFE-2651","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Schools Productivity Unit SEO-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Sector Reporting","DFE-2185","Grade 6 - National","70854","78241","Manager - Sector Reporting Grade 6-East Of England","1.00","Other","East Of England"
"Department for Education","Department for Education","Family Hubs and Early Years Interventions","DFE-2654","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Family Hubs and Early Years Interventions SEO-East Midlands","6.00","Other","East Midlands"
"Department for Education","Department for Education","DDT Incubator","DFE-2475","Grade 7 - National","58185","67219","Manager - DDT Incubator Grade 7-North East","1.00","Other","North East"
"Department for Education","Department for Education","International Strategy & Partnerships","DFE-2432","Grade 6 - National","70854","78241","Manager - International Strategy & Partnerships Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Education Estates Data Collection and Analysis","DFE-2627","Grade 7 - London","62336","72057","Manager - Education Estates Data Collection and Analysis Grade 7-London","2.89","Other","London"
