"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Infrastructure & Platforms","DFE-2281","HEO - National","36000","38229","Higher Executive Officer - Infrastructure & Platforms HEO-East Midlands","2.00","Other","East Midlands"
"Department for Education","Department for Education","SFSO Operational Delivery - North","DFE-2084","Grade 7 - National","58185","67219","Manager - SFSO Operational Delivery - North Grade 7-East Midlands","3.00","Other","East Midlands"
"Department for Education","Department for Education","Teachers' Pension Scheme","DFE-2675","HEO - National","36000","38229","Higher Executive Officer - Teachers' Pension Scheme HEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","CSC Child Protection and Safeguarding","DFE-2337","Grade 7 - National","58185","67219","Manager - CSC Child Protection and Safeguarding Grade 7-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Supporting and Rewarding Teachers and Leaders","DFE-2637","EO - National","31479","31479","Executive Officer - Supporting and Rewarding Teachers and Leaders EO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Work Based Skills Operational Delivery","DFE-2619","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Work Based Skills Operational Delivery SEO-East Midlands","3.80","Other","East Midlands"
"Department for Education","Department for Education","Commercial Operations","DFE-2355","Grade 7 - National","58185","67219","Manager - Commercial Operations Grade 7-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Infrastructure & Platforms","DFE-2281","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Infrastructure & Platforms SEO-East Midlands","2.00","Other","East Midlands"
"Department for Education","Department for Education","Curriculum & Assessment Review","DFE-2641","Grade 7 - National","58185","67219","Manager - Curriculum & Assessment Review Grade 7-East Midlands","1.86","Other","East Midlands"
"Department for Education","Department for Education","Improvement and Insight","DFE-2223","Grade 7 - National","58185","67219","Manager - Improvement and Insight Grade 7-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Developing Teachers and Leaders","DFE-2670","EO - National","31479","31479","Executive Officer - Developing Teachers and Leaders EO-East Midlands","0.81","Other","East Midlands"
"Department for Education","Department for Education","Education Estates Design, Engineering, Cost and Building Technology","DFE-2208","Grade 7 - National","58185","67219","Manager - Education Estates Design, Engineering, Cost and Building Technology Grade 7-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Internal Comms and GCS Change","DFE-2368","SEO (Information Officer) - National","48999","53884","Senior Executive Officer - Internal Comms and GCS Change SEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","CSC Social Worker Training, Development and Leadership","DFE-2558","Grade 7 - National","58185","67219","Manager - CSC Social Worker Training, Development and Leadership Grade 7-East Midlands","2.00","Other","East Midlands"
"Department for Education","Department for Education","Childcare Reform Delivery & Directorate Support","DFE-2576","Grade 7 - National","58185","67219","Manager - Childcare Reform Delivery & Directorate Support Grade 7-North West","2.00","Other","North West"
"Department for Education","Department for Education","Teaching Workforce Teaching Analysis","DFE-2183","SEO (Senior Research Officer) - National","48999","53884","Senior Executive Officer - Teaching Workforce Teaching Analysis SEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Childcare Reform Delivery & Directorate Support","DFE-2576","HEO - National","36000","38229","Higher Executive Officer - Childcare Reform Delivery & Directorate Support HEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Operational Excellence","DFE-2292","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Operational Excellence SEO-East Midlands","2.91","Other","East Midlands"
"Department for Education","Department for Education","Counter Fraud  and Prevention","DFE-2290","Grade 7 - National","58185","67219","Manager - Counter Fraud and Prevention Grade 7-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Digital Delivery - Vulnerable Families & Children","DFE-2503","Grade 7 - National","58185","67219","Manager - Digital Delivery - Vulnerable Families & Children Grade 7-East Midlands","0.91","Other","East Midlands"
"Department for Education","Department for Education","The Apprenticeships Service (DDAT)​","DFE-2486","Grade 6 - National","70854","78241","Manager - The Apprenticeships Service (DDAT)​ Grade 6-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Breakfast Clubs, Wraparound Childcare and HAF","DFE-2544","HEO - National","36000","38229","Higher Executive Officer - Breakfast Clubs, Wraparound Childcare and HAF HEO-East Midlands","0.64","Other","East Midlands"
"Department for Education","Department for Education","International Placements","DFE-2491","Grade 7 - National","58185","67219","Manager - Strategy Group - DG Office Grade 7-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","SFSO Operational Delivery - North","DFE-2084","Grade 7 - National","58185","67219","Manager - SFSO Operational Delivery - North Grade 7-East Of England","1.00","Other","East Of England"
"Department for Education","Department for Education","Customer Success & Shared Service Operations","DFE-2334","EA - National","27244","27244","Executive Assistant - Customer Success & Shared Service Operations EA-North West","0.54","Other","North West"
"Department for Education","Department for Education","FE Support, Improvement and Provider Engagement","DFE-2394","HEO - National","36000","38229","Higher Executive Officer - FE Support, Improvement and Provider Engagement HEO-North East","3.00","Other","North East"
"Department for Education","Department for Education","Education Estates Data Collection and Analysis","DFE-2627","Grade 7 - National","58185","67219","Manager - Education Estates Data Collection and Analysis Grade 7-North East","1.00","Other","North East"
"Department for Education","Department for Education","Independent Market Oversight","DFE-2507","EO - National","31479","31479","Executive Officer - Independent Market Oversight EO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Construction Delivery North West and West Midlands","DFE-2646","Grade 6 - National","70854","78241","Manager - Free Schools, FE and Skills Grade 6-Unknown","0.64","Other","Unknown"
"Department for Education","Department for Education","Operational Excellence","DFE-2292","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Operational Excellence SEO-East Of England","1.00","Other","East Of England"
"Department for Education","Department for Education","Assurance","DFE-2192","Grade 7 - National","58185","67219","Manager - Assurance Grade 7-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Financial Business Partnering: Schools, Families, Regions and Hub","DFE-2151","Grade 7 - National","58185","67219","Manager - ESFA Finance Grade 7-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Enterprise Data for Insight","DFE-2392","Grade 6 - National","70854","78241","Manager - Enterprise Data for Insight Grade 6-West Midlands","1.75","Other","West Midlands"
"Department for Education","Department for Education","SFSO Operational Delivery - North","DFE-2084","Grade 6 - National","70854","78241","Manager - SFSO Operational Delivery - North Grade 6-North West","1.00","Other","North West"
"Department for Education","Department for Education","SFSO Central Division","DFE-2202","Grade 6 - National","70854","78241","Manager - SFSO Central Division Grade 6-West Midlands","2.00","Other","West Midlands"
"Department for Education","Department for Education","Education Estates Strategy and Policy Unit","DFE-2072","Grade 7 - National","58185","67219","Manager - Construction Delivery North East, Yorkshire Humber and East Midlands Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","Customer Success & Shared Service Operations","DFE-2334","HEO - London","40132","42699","Higher Executive Officer - Customer Success & Shared Service Operations HEO-London","0.66","Other","London"
"Department for Education","Department for Education","Operational Excellence","DFE-2292","Grade 6 - National","70854","78241","Manager - Operational Excellence Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Funding Policy Implementation","DFE-2609","G7 (Accountant) - National","58437","67219","Manager - Funding Policy Implementation Grade 7-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Digital Delivery - Funding Services","DFE-2610","Grade 7 - London","62336","72057","Manager - Digital Delivery - Funding Services Grade 7-London","4.00","Other","London"
"Department for Education","Department for Education","Independent Market Oversight","DFE-2507","Grade 7 - National","58185","67219","Manager - North Place Based Team & ESF Grade 7-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Funding Policy Implementation","DFE-2609","Grade 6 - National","70854","78241","Manager - Funding Policy Implementation Grade 6-East Of England","1.00","Other","East Of England"
"Department for Education","Department for Education","Data Science (ESFA)","DFE-2601","Grade 6 - National","70854","78241","Manager - Data Science (ESFA) Grade 6-East Of England","1.00","Other","East Of England"
"Department for Education","Department for Education","Customer Success & Shared Service Operations","DFE-2334","Grade 6 - National","70854","78241","Manager - Customer Success & Shared Service Operations Grade 6-West Midlands","2.00","Other","West Midlands"
"Department for Education","Department for Education","Education Estates Strategy and Policy Unit","DFE-2072","Grade 7 - National","58185","67219","Manager - Education Estates Strategy and Policy Unit Grade 7-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: National","DFE-2577","Grade 6 - National","70854","78241","Manager - Regions Group: National Grade 6-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Sustainability and Strategic Projects","DFE-2311","Grade 7 - London","62336","72057","Manager - Disadvantage and Strategic Policy Grade 7-London","2.91","Other","London"
"Department for Education","Department for Education","Data Science (ESFA)","DFE-2601","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Data Science (ESFA) SEO-North West","0.87","Other","North West"
"Department for Education","Department for Education","Digital Delivery - Funding Services","DFE-2610","Grade 6 - London","74528","82869","Manager - Digital Delivery - Funding Services Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","Construction Programme Management, Planning and Assurance","DFE-2623","HEO - National","36000","38229","Higher Executive Officer - Construction Programme Management, Planning and Assurance HEO-Yorkshire and The Humber","3.59","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Assurance","DFE-2192","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Assurance SEO (Position Vacate:10/10/2025)-North West","0.50","Other","North West"
"Department for Education","Department for Education","Regions Group: East Midlands","DFE-2022","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions Group: East Midlands SEO-West Midlands","2.00","Other","West Midlands"
"Department for Education","Department for Education","Data Science (ESFA)","DFE-2601","Grade 7 - London","62336","72057","Manager - Data Science (ESFA) Grade 7-London","2.00","Other","London"
